cust_no,  cust_name,  street,  number,  town,  post_code,  cr_limit,  curr_balance
202, Πανκίδου-Κασούτσας Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Πάρ. Αγίας Ρουμέλης,  239, Κιλκίς,  76648,  17303.91,  8524.86
203, Σπασόπουλος Χουρζαμάνη και Αντωνιάδης, Δαμουλιανάτων,  19, Χίος,  33495,  15855.33,  12194.3
204, Πλακωτάρης-Περδικάκης, Πάρ. Μακρολιβάδου,  108, Ιωάννινα,  67694,  16206.96,  14415.1
205, Γεωργακοπούλου-Μάστορας, Πιραμάς,  114, Άρτα,  85608,  20155.3,  8656.54
206, Σπασόπουλος-Ντανώλα, Ιωαννίνων,  166, Κιλκίς,  44643,  17773.22,  4551.58
207, Τσατσάνης-Καψή, Πλατεία Μεσορρουγίου,  115, Αγ. Νικόλαος,  51561,  9404.93,  51.37
208, Καρούντζος Μαστρογιάννης και Κουτσικόπουλος, Πάροδος Καρυουπόλεως,  24, Αργοστόλι,  25161,  11581.77,  2032.36
209, Σπανδωνίδης-Καφαντάρης, Δραΐνας,  206, Φλώρινα,  73313,  7340.43,  3992.89
210, Λιόντη-Τσούμος, Κομηλίου,  199, Καστοριά,  11717,  6572.93,  468.42
211, Κουλοχέρη Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Λευκίμμης,  287, Καρδίτσα,  14705,  8810.04,  6226.18
212, Γαλανάκη-Σάτλας, Λούβρου,  254, Ιωάννινα,  86320,  19744.61,  5315.32
213, Παπαγεωργίου Μισίδου και Παπανώτα, Αετού,  112, Κομοτηνή,  79514,  8711.2,  6881.97
214, Φωκάς-Σκαρπέτας, Θωκνίας,  156, Καρδίτσα,  95339,  24650.71,  21844.19
215, Καμπούρη Σιτόπουλος και Πολυχρόνης, Γαλανάδου,  216, Αθήνα,  38176,  13217.59,  7784.8
216, Λάππας-Τσάκη Ο.Ε., Σπυριδάκη,  57, Τρίπολη,  32949,  22390.34,  4917.07
217, Μπαλάσκας-Στεργιούδης Ο.Ε., Λεωφόρος Αγίων Παρασκιών,  90, Κατερίνη,  54108,  22750.52,  8093.48
218, Τζιόρτζιος-Πουφτσής Α.Ε., Βόλβης,  85, Αθήνα,  79512,  8372.58,  4772.03
219, Μποτώνης-Καλλιάνταση και υιοί, Μαντασιάς,  37, Σέρρες,  40161,  10355.21,  9178.71
220, Κιτινός Ο.Ε., Μπιμπίρη,  297, Ρέθυμνο,  27986,  11517.15,  6115.34
221, Γιατρομανωλάκης Ο.Ε., Παυλάκη,  295, Μυτιλήνη,  33903,  20431.93,  1125.72
222, Πλατάκη-Λεβέντης, Τοπολίων,  220, Αργοστόλι,  79537,  21158.75,  18868.36
223, Παπανικολάου-Πολυχρονόπουλος Α.Β.Ε.Ε., Γιαννοπούλου,  23, Ρόδος,  17267,  6502.13,  6151.7
224, Μπακουλή-Λάππας και υιοί, Γαρδελάδων,  145, Ρόδος,  91617,  3176.74,  2708.29
225, Κατσαρός Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Πλαισίων Μαλακασίου,  295, Κομοτηνή,  13879,  10311.8,  1437.01
226, Δρουλιάς Κατσανίκου και Αντωνίου, Σπηλιάδου,  270, Σπάρτη,  55601,  11748.27,  2470.71
227, Σαρίκας-Ποταμιάνου, Διαμαντοπούλου,  25, Βέροια,  94176,  21077.26,  22873.16
228, Γιαννακουδάκη-Παναγιωτακοπούλου Α.Β.Ε.Ε., Χώνου,  171, Αγ. Νικόλαος,  99565,  8135.7,  3440.99
229, Δημητριάδου-Μπεκάκου, Πάροδος Μετοχίου,  242, Λιβαδιά,  91065,  7568.51,  818.47
230, Θεοδοσίου και υιοί, Κυρούδη,  38, Ναύπλιο,  62846,  23619.29,  16225.6
231, Κανελλή Νώε και Κοτσινά, Μάρθας,  168, Ρέθυμνο,  31629,  7738.5,  7085.33
232, Γιαννακίτσας-Μπερμπατιώτης Α.Β.Ε.Ε., Μπαμπαλιού,  116, Κόρινθος,  36787,  19159.02,  10409.74
233, Μασίκα-Αποστολακάκης, Παππάδου,  105, Ηγουμενίτσα,  92592,  16988.97,  2011.52
234, Καμποσάκης-Δημητρέλου, Βατίου,  194, Ζάκυνθος,  49974,  19374.65,  15653.27
235, Κουλίδης-Φωτογλίδης, Πάροδος Καμισιανών,  122, Κέρκυρα,  42839,  22716.4,  8811.18
236, Σπηλιώτης-Ζιώγος Ο.Ε., Αραπάκη,  69, Φλώρινα,  42531,  12338.5,  3283.06
237, Καλαπόδης Πετρίδης και Γαλατούλας, Καβάλου,  81, Ρέθυμνο,  17100,  21780.05,  5502.81
238, Καβούρης και υιοί, Τσικαλαριών,  45, Σπάρτη,  49962,  23866.02,  13084.91
239, Στούμπου Α.Β.Ε.Ε., Δελβινακίου,  287, Μυτιλήνη,  68952,  12314.26,  10205.1
240, Νασίκας Ο.Ε., Οβριάς,  278, Πάτρα,  52181,  7773.34,  324.43
241, Ζαννίκου-Μακρυκώστας Α.Ε., Παπαευαγγελίου,  121, Πρέβεζα,  25212,  8118.73,  8420.17
242, Καρκανάκη Σκοτάδη και Νικολοπούλου, Αλιάρτου,  112, Άμφισσα,  96747,  5063.83,  1824.29
243, Ζώτος και υιοί, Αγραπιδιάς,  195, Τρίκαλα,  81349,  4969.66,  1493.85
244, Μυτάρη Κουτσοβίδου και Τριαντακωνσταντής, Αμοργού,  159, Ζάκυνθος,  11611,  21884.66,  4077.65
245, Αθανασιάδου Ευαγγελινός και Ότσος, Βαζούρα,  9, Καστοριά,  42625,  15056.86,  14422.68
246, Τζιόρτζιος Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Καναλλακίου,  234, Χαλκίδα,  15505,  12062.51,  10817.41
247, Γαβριηλίδη-Κολοκάθης Α.Β.Ε.Ε., Καρυών,  75, Τρίπολη,  20810,  4514.0,  2008.88
248, Παπουδής Α.Β.Ε.Ε., Τσαμπούρη,  6, Γρεβενά,  20126,  17840.94,  3948.11
249, Τουλούπη-Καλαϊτζοπούλου Α.Ε., Αρνά,  271, Πολύγυρος,  77166,  15286.47,  6558.98
250, Χατζηγεωργίου Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Αναστάσεως,  220, Αγ. Νικόλαος,  82945,  12638.82,  7982.35
251, Καραμάνος Ριζούλης και Αραμπατζής, Τερόβου,  159, Σάμος,  99007,  22751.49,  3827.3
252, Γκάγκας και υιοί, Πλατεία Μακροταντάλου,  23, Ξάνθη,  79120,  22843.35,  12384.58
253, Τσιάκος-Παρασκευόπουλος Ο.Ε., Μύλων,  5, Κομοτηνή,  38251,  6148.01,  5780.62
254, Ζηρός Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Πισκοπάνη,  247, Φλώρινα,  37527,  10619.95,  8757.02
255, Μπαλταγιάννης Θεοδωρόπουλος και Φωκάς, Τσίμη,  150, Αγ. Νικόλαος,  13538,  4155.88,  2270.11
256, Καλδή-Μπούζα Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Αμάδων,  47, Καβάλα,  26400,  15415.3,  1753.62
257, Καρυδά-Πέττα Α.Ε., Δροσινή,  1, Θεσσαλονίκη,  23880,  13582.6,  2330.28
258, Αρχαυλής Α.Ε., Τεμενίων,  244, Αργοστόλι,  84366,  9657.86,  1254.93
259, Σαμτανίδου Μάρρας και Μαυροπούλου, Λεωφ. Κρανιδίου,  239, Ιωάννινα,  37647,  5176.72,  1328.78
260, Πευκιανάκης-Χρυσικάκη, Πλατεία Αετολόφου,  143, Λιβαδιά,  21027,  4153.6,  438.48
261, Ματσούρη Ο.Ε., Λεωφ. Ταγαράδων,  186, Ναύπλιο,  60093,  13411.55,  3657.43
262, Καρανικόλας Τζεβελέκος και Κεφαλή, Σοκολάκη,  77, Έδεσσα,  61409,  13885.95,  8220.13
263, Αθανασιάδη Ο.Ε., Ελάφου,  271, Βόλος,  67053,  5464.58,  2727.32
264, Φουντζούλας Κουτελιέρης και Λέλεκας, Πάροδος Αγίου Δημητρίου Μονεμβασίας,  243, Ρέθυμνο,  32507,  21540.74,  8364.63
265, Αμυγδαλάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Ρυζιών,  209, Λιβαδιά,  66583,  24486.08,  523.02
266, Χορτάτου-Ταμιωλάκης και υιοί, Αδαμοπούλου,  257, Λευκάδα,  30783,  21331.47,  8153.69
267, Νώε-Πορίχης, Κουμπουριανών,  263, Σέρρες,  87032,  20002.57,  13200.47
268, Μποτώνης-Ευστρατόπουλος, Χασάπη,  3, Καστοριά,  69125,  9234.08,  6967.44
269, Βυζιηνού-Λαλαούνη, Χατζημιχαήλ,  54, Μυτιλήνη,  60188,  3054.0,  632.17
270, Βασιλογιάννης Σπαθάρη και Κυρούδη, Ρυζιών,  69, Ρέθυμνο,  87774,  22031.06,  16573.38
271, Κεφαλή-Μαμμής Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Μάλαμα,  43, Βέροια,  37088,  14660.55,  11260.35
272, Κυριακάκης Σεβδάς και Βοσινάκη, Πάροδος Κεφαλά,  222, Έδεσσα,  85165,  8832.61,  7975.59
273, Κονιάρη-Πατελλή, Σουλίου,  281, Λιβαδιά,  72858,  17322.96,  10529.34
274, Λαφατζής-Πισκοπάνη, Πάροδος Σκλαβοπούλας,  294, Μεσολόγγι,  73724,  20412.44,  14755.71
275, Πισχινάς Ατσαλάκη και Σιώρης, Βασιλάκη,  100, Πρέβεζα,  65262,  20299.5,  10291.59
276, Χαλαντζούκα Κυρίτση και Μουτουσίδης, Θασίτου,  152, Γρεβενά,  66269,  12081.25,  8015.23
277, Μενγκ-Χριστογιάννη Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Αρδαμερίου,  273, Καστοριά,  28271,  11190.31,  4233.44
278, Μανιάτη-Κουτσουρέλης Α.Ε., Βερβεράτου,  253, Κατερίνη,  22152,  6110.98,  3621.93
279, Ζηδιανάκης-Βουλγαρίδου, Σιλίμνης,  217, Χίος,  91618,  4351.79,  3096.51
280, Βαλαβάνης Μαγκαφοπούλου και Ταμπορρίνο, Αναστασάκη,  65, Χανιά,  23495,  5876.81,  1433.19
281, Τορομίδης Χωρινού και Φιλιππάκης, Πολυλάκκου,  264, Κιλκίς,  23280,  14192.05,  12813.7
282, Λεμονής-Δραμουντάνη, Μετόχιο Προδρόμου,  95, Μυτιλήνη,  98172,  19856.8,  7833.32
283, Πορίχης-Μπατσάκη, Ποδοχωρίου,  177, Σέρρες,  77315,  20469.97,  8382.09
284, Μπαφέρα Ζιάρα και Κατσίπης, Πάρ. Μεγαλόχαρης,  256, Λιβαδιά,  22796,  16428.74,  7853.68
285, Φουσιέκης-Δαμήλου, Λαπαναγών,  28, Ερμούπολη,  56454,  21052.49,  503.08
286, Παπαθεοδοσίου-Ζαχαρίου, Λεπτοκαρυών,  298, Δράμα,  28967,  3775.75,  3471.03
287, Καραγιάννης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Ντάνου,  94, Φλώρινα,  66764,  17542.19,  96.63
288, Φαρμάκη Τρεντσίου και Μπίλλας, Νεγράδων,  252, Χίος,  77287,  23845.2,  8776.2
289, Κιτινός Α.Ε., Μανθυρέας,  144, Μεσολόγγι,  78307,  9416.29,  4065.65
290, Μαστρογιαννίδου και υιοί, Βλαχοδήμου,  63, Κομοτηνή,  19470,  23155.54,  2216.01
291, Αλυσανδράτου Α.Ε., Πάροδος Άστρους,  225, Λάρισα,  87387,  3886.28,  1354.9
292, Γκαγκαουδάκης Ο.Ε., Λειανοκλαδίου,  295, Αργοστόλι,  12837,  13579.51,  3981.49
293, Θωμόπουλος Θασίτου και Πετρόπουλος, Ρέππα,  85, Θεσσαλονίκη,  34182,  8757.32,  5681.03
294, Δουκάς Μαυρομμάτης και Καλαϊτζάκης, Κοκκίνου,  294, Αλεξανδρούπολη,  69159,  6110.63,  4999.34
295, Ρόκας και υιοί, Λεωφόρος Πεμονίων,  78, Καλαμάτα,  55200,  24947.63,  9555.13
296, Πουρνάρα Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Χαϊκαλίου,  1, Καρπενήσι,  80107,  16187.5,  9660.91
297, Ραγκούσης Κόλλια και Τριανταφύλλου, Νώε,  297, Ναύπλιο,  63777,  21099.67,  1593.88
298, Τερζίδης Καρακυρίου και Κουρκουτάς, Πλατανίων,  266, Δράμα,  49627,  16719.82,  4217.44
299, Χατζηδάκη-Δαμαλά, Κρύας,  41, Κιλκίς,  97168,  23938.97,  9325.88
300, Κακοσαίος-Μπαρκούτα, Πλατεία Βιρού,  202, Λιβαδιά,  91871,  6967.03,  6303.52
301, Κουκουβίνος Ο.Ε., Ασπροβάλτας,  252, Ξάνθη,  89517,  21654.22,  8880.27
302, Κυρούδη-Κεσεμίδης, Μικροθηβών,  23, Θεσσαλονίκη,  62707,  14800.76,  3794.99
303, Τσαμαδός-Παπουδής, Γεφύρας,  134, Κόρινθος,  73011,  8779.33,  3137.0
304, Σπορδιλής-Χατζόπουλος Α.Β.Ε.Ε., Πλαγιαρίου,  108, Πολύγυρος,  64300,  13569.07,  13243.13
305, Σαββάκη Ο.Ε., Δούβαλη,  115, Άμφισσα,  46929,  9684.59,  2414.68
306, Κοτσαρής-Δίγκας, Νώε,  151, Ξάνθη,  24903,  18870.56,  17629.43
307, Πευκιανάκης-Ιωσηφίδης Ο.Ε., Παπανδρέου,  64, Χανιά,  49709,  24960.68,  10820.0
308, Πάντζιου-Τζαλλας και υιοί, Βαζούρα,  48, Βέροια,  97939,  3644.46,  1033.47
309, Νταβάς Καργάκου και Δανέζης, Πλατεία Ραχτάδων,  92, Καλαμάτα,  24045,  13172.27,  4124.3
310, Γκούβα Παπαγιαννόπουλος και Μαυρομανωλάκης, Λεωφ. Κουρέντων,  87, Κατερίνη,  35683,  19579.13,  10780.36
311, Κλεινάκη-Κωστοπούλου, Φουρκιώτη,  158, Λαμία,  57909,  21629.11,  777.67
312, Βορλόκας Α.Β.Ε.Ε., Μπεσύρη,  78, Αργοστόλι,  79026,  5689.61,  2992.62
313, Δελή και υιοί, Πλατεία Κονιστρών,  105, Λαμία,  66580,  16833.44,  8042.33
314, Δημητριάδου-Αποστολίδου, Δρυμαλίτου,  98, Τρίπολη,  42979,  6086.09,  7222.55
315, Κόλλια-Κλήμης και υιοί, Αυλοτόπου,  222, Ρέθυμνο,  32702,  3171.18,  809.11
316, Τσάκη Σακελλαρίου και Δαγλή, Κατσαρωνίου,  57, Καλαμάτα,  12013,  13468.54,  2817.81
317, Μακρή-Ξηρός, Σωτηριανίκων,  177, Χίος,  17396,  19925.94,  16938.08
318, Μυλωνάς Χιτός και Κουρσάρης, Μελίσσης,  181, Χίος,  91773,  7933.76,  199.81
319, Μαυρικάκης και υιοί, Γαρούνας,  124, Ρέθυμνο,  46179,  10635.11,  8501.23
320, Καλογιαννάκη Παπανδρικοπούλου και Κατσούλα, Ζαράκων,  39, Λιβαδιά,  72263,  13595.09,  2681.0
321, Λαγοπάτης-Αλατζάκης, Σημάντρου,  42, Κέρκυρα,  96474,  17553.87,  16586.59
322, Σαμαράς-Σπανδωνίδης Ο.Ε., Γιαννακοχωρίου,  37, Καστοριά,  18082,  18968.28,  10312.78
323, Κοντού Γκάγκας και Κορομπόκη, Κουκουναράς,  257, Σάμος,  37629,  5619.26,  7388.23
324, Ανεζάκη-Δακαναλής, Δαρδιώτη,  298, Ρόδος,  57044,  3500.21,  763.3
325, Κολτσάκη Α.Ε., Λεωφ. Μαρμαρίνης,  234, Κατερίνη,  34273,  20592.93,  18474.28
326, Καρακάξης Ο.Ε., Κωστοπούλου,  181, Χανιά,  65777,  10746.5,  871.9
327, Σολωμίδου Ο.Ε., Καμενίτσης,  268, Αλεξανδρούπολη,  40533,  12214.9,  9773.42
328, Σταμόπουλος Α.Ε., Ροδιάς,  75, Μυτιλήνη,  87270,  14251.97,  9058.29
329, Τζουμάκης-Τσαμαδός, Συμεωνίδου,  258, Ηράκλειο,  71700,  3334.29,  845.02
330, Κουρής και υιοί, Πολυχρόνου,  131, Αγ. Νικόλαος,  76995,  10649.1,  5739.88
331, Μοσχοβάκη-Δουκίδου, Μακρίσης,  144, Πάτρα,  70648,  3538.45,  214.21
332, Τσιούπρα και υιοί, Σπανίδου,  249, Βέροια,  45603,  23974.32,  7931.29
333, Ζούνης-Μπαλανίκα Ο.Ε., Καδίου,  299, Κόρινθος,  76455,  24405.91,  12973.57
334, Ξανθοπούλου-Αργυρόπουλος και υιοί, Παραδεισίου,  6, Άρτα,  63774,  18730.46,  15674.14
335, Αργυροπούλου Σεβαστού και Οικονόμου, Βέργης,  267, Μεσολόγγι,  90347,  9164.64,  4102.05
336, Χατζόπουλος Μιχελακάκη και Νασιόπουλος, Παππαρουσίου,  167, Ρόδος,  31646,  17254.55,  16729.87
337, Σπαθάρη-Τσακμάκης, Λεωφόρος Φτελιάς,  218, Θεσσαλονίκη,  96413,  24948.77,  26198.57
338, Σπανίδου Παπανώτα και Ψυχάρη, Λεωφόρος Κορώνης,  260, Καρπενήσι,  49015,  7163.22,  6479.78
339, Ιντζές-Παλλάς, Πλατεία Σιγρίου,  263, Πολύγυρος,  96308,  7647.01,  7517.69
340, Πετριτάκης-Κυριακούλη Α.Β.Ε.Ε., Τούμπας,  156, Καλαμάτα,  66465,  17090.24,  4632.61
341, Ανδριανός-Βαϊτσόπουλος, Πάρ. Ρωμανού,  193, Αγ. Νικόλαος,  37660,  13832.12,  4169.88
342, Κουτουζίδου Α.Ε., Καλομοίρη,  153, Κιλκίς,  97466,  17656.73,  333.71
343, Στραβοσνίχης Βελεντζάς και Λώλος, Λεωφ. Ροδιανής,  273, Ξάνθη,  53445,  10208.81,  2027.51
344, Τσαγκρασούλης-Δημητρίου, Ξορυχτίου,  180, Γρεβενά,  75115,  10387.86,  9331.03
345, Αβραμιώτης-Βαλασίδης, Πλατεία Σκαλανίου,  283, Κέρκυρα,  87792,  17048.07,  13524.91
346, Χατζησταυράκης Α.Ε., Πλατεία Σκιλλουντίας,  175, Λιβαδιά,  22216,  19827.02,  14064.84
347, Ταξίδου Αποστολίδης και Κετεσίδου, Κατσιγιάννη,  137, Χαλκίδα,  60277,  3018.62,  4654.87
348, Ζώνιος και υιοί, Θεοδωροπούλου,  115, Πρέβεζα,  90542,  3132.03,  15.32
349, Αγγελής-Φιλιάγκου Ο.Ε., Δουκαναιίκων,  251, Γρεβενά,  17950,  22120.58,  16113.68
350, Μίσχος Ο.Ε., Πάροδος Προφίλιας,  81, Κομοτηνή,  86443,  19884.89,  7296.37
351, Τερζής Ο.Ε., Λαγκάδας,  210, Μυτιλήνη,  39457,  21647.61,  8860.46
352, Κουρσάρης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Πάρ. Σαρανταπήχου,  128, Μεσολόγγι,  42748,  24289.74,  20191.21
353, Τάτση Α.Β.Ε.Ε., Πάρ. Πλανητέρου,  8, Κατερίνη,  28627,  24910.95,  24709.67
354, Δίγκας-Πετριτάκης Ο.Ε., Ευδήλου,  240, Λαμία,  16557,  8730.34,  1846.05
355, Σκυλογιάννη και υιοί, Δριμίσκου,  160, Μεσολόγγι,  32398,  18184.09,  5436.49
356, Λυρή Πανταζή και Παπαστεργίου, Αλεξανδρίδου,  251, Ιωάννινα,  93648,  17079.64,  13440.76
357, Στραβοσνίχης-Σπαθόπουλος Α.Β.Ε.Ε., Φωσταίνης,  12, Άμφισσα,  26944,  12118.25,  6810.39
358, Τσαγκρασούλης-Δραμουντάνη, Καμινάρη,  249, Ρέθυμνο,  42014,  17668.59,  3306.05
359, Ρούσσου και υιοί, Βρίσας,  102, Φλώρινα,  93223,  13517.42,  1736.44
360, Εμμανουήλ-Καρακώστα, Πάροδος Διγελιωτίκων,  78, Καρπενήσι,  86563,  10805.74,  5125.13
361, Σαρρός-Γκαλίου, Ροδίτου,  232, Αθήνα,  49590,  13165.09,  12098.25
362, Τσιαντάς-Παπασταύρου Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Μπατσάκη,  276, Βέροια,  83041,  16704.37,  6869.5
363, Σωτηροπούλου-Γρηγορίου Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Αρφαρών,  169, Βέροια,  24313,  7527.53,  336.91
364, Καλιάμπος-Γκίκας Ο.Ε., Ανθοχωρίου Μετσόβου,  124, Γρεβενά,  65892,  3150.94,  2266.67
365, Πατελλή-Προύβα, Πλατεία Δένδρων Τυρνάβου,  136, Κομοτηνή,  38394,  14424.27,  818.61
366, Μιχαλάρου-Ξανθάκης, Χρυσαυγής,  143, Σπάρτη,  52859,  4993.41,  4455.78
367, Μητσόπουλος Κωτούλας και Καρτάς, Πλ. Δελερίων,  197, Ρόδος,  33120,  22653.18,  3654.77
368, Πουλημένος Ο.Ε., Βουνάργου,  44, Λάρισα,  43108,  15909.62,  11539.91
369, Καραγιάννης-Συρρής, Πλ. Λευκίμμης,  12, Χανιά,  43622,  14083.12,  2551.4
370, Μανωλέας Α.Ε., Μαρτιάδου,  51, Άμφισσα,  35440,  11621.78,  7369.15
371, Χριστογιάννη-Ευαγγελινός και υιοί, Φλόκας,  23, Σέρρες,  29569,  3429.14,  3144.96
372, Ξυγκάκου Αθανασιάδη και Δρακάκη, Μασαούτη,  140, Άμφισσα,  35392,  8990.72,  9535.22
373, Ξανθάκης-Παπαθανασίου, Φαρακλού,  295, Τρίκαλα,  91167,  11855.6,  3203.43
374, Μέλανι Α.Ε., Λεωφόρος Μεσοβουνίων,  8, Έδεσσα,  40828,  16564.87,  6470.62
375, Καλιτσουνάκης-Τσιωλξ, Ασπρούλας,  198, Καρπενήσι,  18685,  20104.53,  4032.45
376, Τσουκνίδας-Ζαφείρη Α.Β.Ε.Ε., Αλικάμπου,  17, Καλαμάτα,  22947,  22835.1,  7175.66
377, Χριστόπουλος-Κασσωτάκη, Αμάδων,  195, Κατερίνη,  46190,  13187.82,  579.34
378, Ραγκούσης-Ρόκας, Πλατεία Βερίνου,  180, Κόρινθος,  34379,  19952.26,  12735.84
379, Γρατσιάς Γεωργή και Τυράλης, Συβιλιά,  18, Μυτιλήνη,  50887,  17716.34,  4731.98
380, Κοντός-Σαραφίδης Α.Ε., Μαράκη,  35, Σάμος,  11168,  19005.35,  1165.44
381, Καπανταϊδάκη Βούλκος και Χατζηγεωργίου, Μικράς Μαντινείας,  202, Καρδίτσα,  48045,  11903.37,  11509.02
382, Πέππας-Μάντου Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Πυργιωτίκων,  135, Ηγουμενίτσα,  83185,  20868.12,  1697.55
383, Νανούρης-Παντζέκος Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Επισκοπής,  211, Κομοτηνή,  69343,  5495.82,  4764.43
384, Παπαδημητράκης-Μπερμπατιώτης, Ζωνιανών,  222, Τρίπολη,  46531,  9938.1,  4174.17
385, Βαλιάκα-Βαζούρα και υιοί, Πάροδος Κουτσοποδίου,  204, Ιωάννινα,  60682,  13784.03,  5025.52
386, Κλεινάκη-Δαρδιώτη και υιοί, Παλαίρου,  175, Κέρκυρα,  41794,  6149.32,  1576.33
387, Ορφανιώτης Α.Ε., Καλεντζίου,  107, Μυτιλήνη,  99193,  19328.69,  4829.46
388, Τριφτανίδου Χατζηγρηγοράκης και Τυμβίου, Αγριάς,  281, Άμφισσα,  91673,  12126.44,  4359.95
389, Χωριανοπούλου Τσότρας και Βακαλάκης, Μεγάλης Δοξιπάρας,  121, Κατερίνη,  92996,  12017.81,  7294.52
390, Νίκα-Τραγούστη, Καρπάθου,  213, Χαλκίδα,  50307,  22499.04,  3723.89
391, Δαρσακλή Φωτακοπούλου και Δρυμαλίτου, Πάροδος Βαρλαάμ,  250, Καλαμάτα,  15689,  7557.28,  1363.93
392, Σαμανίδης-Καργάκου, Δαμακινίου,  84, Πάτρα,  27767,  11151.83,  2119.05
393, Γκούσκος Μπαρκούτα και Δεσύλλας, Μουλιανών,  36, Πύργος,  12264,  23375.77,  24339.31
394, Ιατρόπουλος-Αντωνόπουλος Ο.Ε., Ξανθάτων,  193, Έδεσσα,  99159,  21282.97,  10644.86
395, Κυριακοπούλου-Παπαγεωργίου Α.Ε., Πέλλης,  217, Φλώρινα,  96004,  4926.84,  203.14
396, Κάκκα Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Ριαχόβου,  130, Πάτρα,  20762,  7527.02,  2290.59
397, Καρανικόλας-Πισκοπάνη, Καταπόλων,  121, Χίος,  40546,  15124.55,  2798.63
398, Τσαντίδου και υιοί, Πλατεία Σαμοθράκης,  259, Λαμία,  82253,  17377.72,  13689.42
399, Μίσχος Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Ντζιαβίδα,  266, Έδεσσα,  76988,  9861.59,  8577.47
400, Λελεδάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ, Ισθμίας,  54, Λιβαδιά,  92284,  18602.33,  2410.26
401, Χονδρολίδης   Δάφνη και Βαρακλής, Λεωφ. Σκοτούσσης,  35, Ηράκλειο,  36235,  9160.92,  5168.99
